eta,model,accuracy,decision_rate,tp,tn,fp,fn
0.0,DPE,0.0,1.0,0,0,2000,0
0.0,ETC-P,0.1685,1.0,0,337,1663,0
0.0,ETC-E,0.0005,1.0,0,1,1999,0
0.0,LZ-P,0.113,1.0,0,226,1774,0
0.05,DPE,0.5515,1.0,1103,0,0,897
0.05,ETC-P,0.4275,1.0,855,0,0,1145
0.05,ETC-E,0.498,1.0,996,0,0,1004
0.05,LZ-P,0.4975,1.0,995,0,0,1005
0.1,DPE,0.683,1.0,1366,0,0,634
0.1,ETC-P,0.4355,1.0,871,0,0,1129
0.1,ETC-E,0.522,1.0,1044,0,0,956
0.1,LZ-P,0.617,1.0,1234,0,0,766
0.15000000000000002,DPE,0.8265,1.0,1653,0,0,347
0.15000000000000002,ETC-P,0.454,1.0,908,0,0,1092
0.15000000000000002,ETC-E,0.538,1.0,1076,0,0,924
0.15000000000000002,LZ-P,0.7545,1.0,1509,0,0,491
0.2,DPE,0.9195,1.0,1839,0,0,161
0.2,ETC-P,0.4785,1.0,957,0,0,1043
0.2,ETC-E,0.5705,1.0,1141,0,0,859
0.2,LZ-P,0.8735,1.0,1747,0,0,253
0.25,DPE,0.958,1.0,1916,0,0,84
0.25,ETC-P,0.4735,1.0,947,0,0,1053
0.25,ETC-E,0.61,1.0,1220,0,0,780
0.25,LZ-P,0.9385,1.0,1877,0,0,123
0.30000000000000004,DPE,0.975,1.0,1950,0,0,50
0.30000000000000004,ETC-P,0.4905,1.0,981,0,0,1019
0.30000000000000004,ETC-E,0.632,1.0,1264,0,0,736
0.30000000000000004,LZ-P,0.9735,1.0,1947,0,0,53
0.35000000000000003,DPE,0.985,1.0,1970,0,0,30
0.35000000000000003,ETC-P,0.509,1.0,1018,0,0,982
0.35000000000000003,ETC-E,0.648,1.0,1296,0,0,704
0.35000000000000003,LZ-P,0.991,1.0,1982,0,0,18
0.4,DPE,0.991,1.0,1982,0,0,18
0.4,ETC-P,0.534,1.0,1068,0,0,932
0.4,ETC-E,0.655,1.0,1310,0,0,690
0.4,LZ-P,0.998,1.0,1996,0,0,4
0.45,DPE,0.994,1.0,1988,0,0,12
0.45,ETC-P,0.5365,1.0,1073,0,0,927
0.45,ETC-E,0.665,1.0,1330,0,0,670
0.45,LZ-P,0.9985,1.0,1997,0,0,3
0.5,DPE,0.9945,1.0,1989,0,0,11
0.5,ETC-P,0.537,1.0,1074,0,0,926
0.5,ETC-E,0.6815,1.0,1363,0,0,637
0.5,LZ-P,0.9995,1.0,1999,0,0,1
0.55,DPE,0.994,1.0,1988,0,0,12
0.55,ETC-P,0.539,1.0,1078,0,0,922
0.55,ETC-E,0.6825,1.0,1365,0,0,635
0.55,LZ-P,0.9985,1.0,1997,0,0,3
0.6000000000000001,DPE,0.9985,1.0,1997,0,0,3
0.6000000000000001,ETC-P,0.547,1.0,1094,0,0,906
0.6000000000000001,ETC-E,0.678,1.0,1356,0,0,644
0.6000000000000001,LZ-P,1.0,1.0,2000,0,0,0
0.65,DPE,0.9965,1.0,1993,0,0,7
0.65,ETC-P,0.554,1.0,1108,0,0,892
0.65,ETC-E,0.688,1.0,1376,0,0,624
0.65,LZ-P,1.0,1.0,2000,0,0,0
0.7000000000000001,DPE,0.999,1.0,1998,0,0,2
0.7000000000000001,ETC-P,0.5385,1.0,1077,0,0,923
0.7000000000000001,ETC-E,0.6855,1.0,1371,0,0,629
0.7000000000000001,LZ-P,1.0,1.0,2000,0,0,0
0.75,DPE,0.999,1.0,1998,0,0,2
0.75,ETC-P,0.5365,1.0,1073,0,0,927
0.75,ETC-E,0.664,1.0,1328,0,0,672
0.75,LZ-P,1.0,1.0,2000,0,0,0
0.8,DPE,0.9995,1.0,1999,0,0,1
0.8,ETC-P,0.527,1.0,1054,0,0,946
0.8,ETC-E,0.691,1.0,1382,0,0,618
0.8,LZ-P,1.0,1.0,2000,0,0,0
0.8500000000000001,DPE,0.999,1.0,1998,0,0,2
0.8500000000000001,ETC-P,0.5355,1.0,1071,0,0,929
0.8500000000000001,ETC-E,0.688,1.0,1376,0,0,624
0.8500000000000001,LZ-P,1.0,1.0,2000,0,0,0
0.9,DPE,0.999,1.0,1998,0,0,2
0.9,ETC-P,0.5515,1.0,1103,0,0,897
0.9,ETC-E,0.6855,1.0,1371,0,0,629
0.9,LZ-P,1.0,1.0,2000,0,0,0
0.9500000000000001,DPE,0.9995,1.0,1999,0,0,1
0.9500000000000001,ETC-P,0.524,1.0,1048,0,0,952
0.9500000000000001,ETC-E,0.6895,1.0,1379,0,0,621
0.9500000000000001,LZ-P,1.0,1.0,2000,0,0,0
