,eta,model,accuracy,decision_rate
0,0.0,DPE,0.0,1.0
1,0.0,ETC-P,0.0,0.8925
2,0.0,ETC-E,0.0,1.0
3,0.0,LZ-P,0.0,0.9995
4,0.1,DPE,1.0,1.0
5,0.1,ETC-P,0.7995,0.929
6,0.1,ETC-E,0.08,1.0
7,0.1,LZ-P,0.9895,1.0
8,0.2,DPE,1.0,1.0
9,0.2,ETC-P,0.562,0.842
10,0.2,ETC-E,0.086,1.0
11,0.2,LZ-P,0.9835,1.0
12,0.3,DPE,1.0,1.0
13,0.3,ETC-P,0.5925,0.873
14,0.3,ETC-E,0.1355,1.0
15,0.3,LZ-P,0.99,1.0
16,0.4,DPE,1.0,1.0
17,0.4,ETC-P,0.642,0.8965
18,0.4,ETC-E,0.419,1.0
19,0.4,LZ-P,0.9655,0.985
20,0.5,DPE,1.0,1.0
21,0.5,ETC-P,0.5775,0.8665
22,0.5,ETC-E,0.3655,1.0
23,0.5,LZ-P,0.8605,0.915
24,0.6,DPE,1.0,1.0
25,0.6,ETC-P,0.5715,0.8885
26,0.6,ETC-E,0.527,1.0
27,0.6,LZ-P,0.903,0.931
28,0.7,DPE,1.0,1.0
29,0.7,ETC-P,0.422,0.887
30,0.7,ETC-E,0.2685,0.9995
31,0.7,LZ-P,0.5775,0.782
32,0.8,DPE,1.0,1.0
33,0.8,ETC-P,0.302,0.8915
34,0.8,ETC-E,0.6395,0.999
35,0.8,LZ-P,0.0145,0.9795
36,0.9,DPE,1.0,1.0
37,0.9,ETC-P,0.411,0.876
38,0.9,ETC-E,0.3665,1.0
39,0.9,LZ-P,0.116,0.839
